text,created_at
"Momen personel Polwan RI saat terlibat dalam membagikan makan bergizi gratis untuk siswa-siswi di Kabupaten Gresik, Jawa Timur, sebagai implementasi mendukung kebijakan pemerintah dalam program Asta Cita. Komitmen Humanis Abdikan Diri kepada Masyarakat serta #MelayaniSegenapHati ",Tue Feb 11 06:43:01 +0000 2025
@eradotid Pantesan marahin anak yang makan gratis kemarin..,Tue Feb 11 06:42:46 +0000 2025
@guzman_sige punya duit aja kaga so soan ngasih makan gratis ya gini lah,Tue Feb 11 06:42:05 +0000 2025
"@secondvis @hiliricaci @sugondese6666 biar makan siang aja yang gratis, 2s sama idol bayar :)",Tue Feb 11 06:41:53 +0000 2025
@136pride minta makan siang gratis flo,Tue Feb 11 06:41:25 +0000 2025
"@guzman_sige ini kemaren aku dapet makan gratis n akhirnya banyak makanan kebuang² karna tu makanan semua ga ada rasanya, setelah itu aku bahas sama temen² dan mereka bilang ""pemerintah ga salah lah, yg salah ma catering nya masak ga bener"" EH Y TETEP SALAH PEMERINTAH LAH ANJIR - ",Tue Feb 11 06:41:25 +0000 2025
"@ARSIPAJA Makan siang gratis tapi banyak syaratnya, penghematan, pajak naik, gas dibatasin, sekarang anggaran dan gaji pensiunan pns terancam. Maunya gimana coba. Kalo ngerasa program gagal, diperbaiki dulu jangan dipaksakan. Ibarat jualan tapi lu gaada modal, ya gini jadinya",Tue Feb 11 06:40:11 +0000 2025
@gina_vivu Makan siang gratis ya umi?,Tue Feb 11 06:39:58 +0000 2025
"@ARSIPAJA Baru sadar ya tu sosok, kalo gak semua masalah bisa diselesaikan dengan MAKAN SIANG GRATIS???",Tue Feb 11 06:39:46 +0000 2025
"Wkwkwkwww 
Ini pasti kemarin milih 02 biar dpt makan gratis",Tue Feb 11 06:36:25 +0000 2025
"@sukabehasu Lahyaaa, koyoke buat tambahan program makan siang gratis Iki😒",Tue Feb 11 06:35:58 +0000 2025
"@psi_id Makan bergizi gratis, cek kesehatan gratis 👍👍",Tue Feb 11 06:35:37 +0000 2025
"Pembagian makan bergizi gratis untuk siswa-siswi di Kabupaten Gresik, Jawa Timur, sebagai implementasi mendukung kebijakan pemerintah dalam program Asta Cita. Komitmen Humanis Abdikan Diri kepada Masyarakat serta #MelayaniSegenapHati ",Tue Feb 11 06:34:58 +0000 2025
"@kegblgnunfaedh Ada betulnya juga, sekarang ini prioritaskan pendidikan, bukan tidak setuju dengan program pak presiden, rasanya jika dilihat kayak gimana gtu, belum lagi yang belum kebagian makan gratis tersebut heboh sekali.",Tue Feb 11 06:34:47 +0000 2025
"Momen personel Polwan RI saat terlibat dalam membagikan makan bergizi gratis untuk siswa-siswi di Kabupaten Gresik, Jawa Timur, sebagai implementasi mendukung kebijakan pemerintah dalam program Asta Cita. Komitmen Humanis Abdikan Diri kepada Masyarakat serta ",Tue Feb 11 06:33:39 +0000 2025
