created_at,text_clean,text_preprocessed,polarity_score,polarity
Tue Feb 11 06:43:01 +0000 2025,momen personel polwan ri saat terlibat dalam membagikan makan bergizi gratis untuk siswasiswi di kabupaten gresik jawa timur sebagai implementasi mendukung kebijakan pemerintah dalam program asta cita komitmen humanis abdikan diri kepada masyarakat serta,"['momen', 'personel', 'polwan', 'ri', 'libat', 'makan', 'gizi', 'gratis', 'siswasiswi', 'kabupaten', 'gresik', 'jawa', 'timur', 'implementasi', 'dukung', 'bijak', 'perintah', 'program', 'asta', 'cita', 'komitmen', 'humanis', 'abdi', 'masyarakat']",6,positive
Tue Feb 11 06:42:46 +0000 2025,pantesan marahin anak yang makan gratis kemarin,"['pantesan', 'marahin', 'anak', 'makan', 'gratis', 'kemarin']",-6,negative
Tue Feb 11 06:42:05 +0000 2025,sige punya duit aja kaga so soan ngasih makan gratis ya gini lah,"['sige', 'duit', 'kaga', 'so', 'soan', 'ngasih', 'makan', 'gratis', 'ya', 'gin']",5,positive
Tue Feb 11 06:41:53 +0000 2025,biar makan siang aja yang gratis s sama idol bayar,"['biar', 'makan', 'siang', 'gratis', 's', 'idol', 'bayar']",-4,negative
Tue Feb 11 06:41:25 +0000 2025,sige ini kemaren aku dapet makan gratis n akhirnya banyak makanan kebuang² karna tu makanan semua ga ada rasanya setelah itu aku bahas sama temen² dan mereka bilang pemerintah ga salah lah yg salah ma catering nya masak ga bener eh y tetep salah pemerintah lah anjir,"['sige', 'kemaren', 'dapet', 'makan', 'gratis', 'n', 'makan', 'buang', 'karna', 'tu', 'makan', 'gak', 'bahas', 'temen', 'bilang', 'perintah', 'gak', 'salah', 'salah', 'ma', 'catering', 'nya', 'masak', 'gak', 'eh', 'y', 'tetep', 'salah', 'perintah', 'anjir']",-13,negative
Tue Feb 11 06:40:11 +0000 2025,makan siang gratis tapi banyak syaratnya penghematan pajak naik gas dibatasin sekarang anggaran dan gaji pensiunan pns terancam maunya gimana coba kalo ngerasa program gagal diperbaiki dulu jangan dipaksakan ibarat jualan tapi lu gaada modal ya gini jadinya,"['makan', 'siang', 'gratis', 'syarat', 'hemat', 'pajak', 'gas', 'dibatasin', 'anggar', 'gaji', 'pensiun', 'pns', 'ancam', 'gimana', 'coba', 'kalo', 'ngerasa', 'program', 'gagal', 'paksa', 'jual', 'gaada', 'modal', 'ya', 'gin']",-18,negative
Tue Feb 11 06:39:58 +0000 2025,vivu makan siang gratis ya umi,"['vivu', 'makan', 'siang', 'gratis', 'ya', 'umi']",8,positive
Tue Feb 11 06:39:46 +0000 2025,baru sadar ya tu sosok kalo gak semua masalah bisa diselesaikan dengan makan siang gratis,"['sadar', 'ya', 'tu', 'sosok', 'kalo', 'gak', 'selesai', 'makan', 'siang', 'gratis']",3,positive
Tue Feb 11 06:36:25 +0000 2025,wkwkwkwww  ini pasti kemarin milih  biar dpt makan gratis,"['wkwkwkwww', 'kemarin', 'milih', 'biar', 'makan', 'gratis']",-4,negative
Tue Feb 11 06:35:37 +0000 2025,id makan bergizi gratis cek kesehatan gratis 👍👍,"['id', 'makan', 'gizi', 'gratis', 'cek', 'sehat', 'gratis', '']",-1,negative
Tue Feb 11 06:34:58 +0000 2025,pembagian makan bergizi gratis untuk siswasiswi di kabupaten gresik jawa timur sebagai implementasi mendukung kebijakan pemerintah dalam program asta cita komitmen humanis abdikan diri kepada masyarakat serta,"['makan', 'gizi', 'gratis', 'siswasiswi', 'kabupaten', 'gresik', 'jawa', 'timur', 'implementasi', 'dukung', 'bijak', 'perintah', 'program', 'asta', 'cita', 'komitmen', 'humanis', 'abdi', 'masyarakat']",6,positive
Tue Feb 11 06:34:47 +0000 2025,ada betulnya juga sekarang ini prioritaskan pendidikan bukan tidak setuju dengan program pak presiden rasanya jika dilihat kayak gimana gtu belum lagi yang belum kebagian makan gratis tersebut heboh sekali,"['prioritas', 'didik', 'tuju', 'program', 'presiden', 'kayak', 'gimana', 'gtu', 'makan', 'gratis', 'heboh']",-3,negative
Tue Feb 11 06:33:27 +0000 2025,momen personel polwan ri saat terlibat dalam membagikan makan bergizi gratis untuk siswasiswi di kabupaten gresik jawa timur sebagai implementasi mendukung kebijakan pemerintah dalam program asta cita komitmen humanis abdikan diri kepada masyarakat,"['momen', 'personel', 'polwan', 'ri', 'libat', 'makan', 'gizi', 'gratis', 'siswasiswi', 'kabupaten', 'gresik', 'jawa', 'timur', 'implementasi', 'dukung', 'bijak', 'perintah', 'program', 'asta', 'cita', 'komitmen', 'humanis', 'abdi', 'masyarakat']",6,positive
Tue Feb 11 06:32:38 +0000 2025,program makan bergizi gratis tingkatkan kualitas kesehatan dan gizi anak,"['program', 'makan', 'gizi', 'gratis', 'tingkat', 'kualitas', 'sehat', 'gizi', 'anak']",8,positive
Tue Feb 11 06:32:34 +0000 2025,bayangkan berapa juta anak yang dikasih makan selama  tahun yang udah mendapat hak pilih  tahun lagi pemikiran mereka pasti positif terhadap pemerintahan sekarang karena punya kenangan dikasih makan gratis tiap hari,"['bayang', 'juta', 'anak', 'kasih', 'makan', 'udah', 'hak', 'pilih', 'pikir', 'positif', 'perintah', 'kenang', 'kasih', 'makan', 'gratis']",8,positive
Tue Feb 11 06:32:12 +0000 2025,program makan bergizi gratis langkah strategis pemerintah dalam mewujudkan indonesia emas,"['program', 'makan', 'gizi', 'gratis', 'langkah', 'strategis', 'perintah', 'wujud', 'indonesia', 'emas']",6,positive
Tue Feb 11 06:31:28 +0000 2025,program makan bergizi gratis membuka akses gizi sehat untuk masyarakat indonesia,"['program', 'makan', 'gizi', 'gratis', 'buka', 'akses', 'gizi', 'sehat', 'masyarakat', 'indonesia']",5,positive
Tue Feb 11 06:30:32 +0000 2025,ni dikasih makan gratis,"['ni', 'kasih', 'makan', 'gratis']",1,positive
Tue Feb 11 06:30:28 +0000 2025,program makan bergizi gratis sasar  sekolah di manokwari bukti keseriusan pemerintahan parabowogibran,"['program', 'makan', 'gizi', 'gratis', 'sasar', 'sekolah', 'manokwari', 'bukti', 'serius', 'perintah', 'parabowogibran']",-5,negative
Mon Feb 10 06:57:49 +0000 2025,presiden ri jenderal tni purn h prabowo subianto telah menginisiasi program ketahanan pangan nasional dan makan bergizi gratis mbg melalui program asta cita untuk mendukung terwujudnya programprogram tersebut kapolri jenderal polisi drs listyo sigit prabowo,"['presiden', 'ri', 'jenderal', 'tni', 'purn', 'h', 'prabowo', 'subianto', 'inisiasi', 'program', 'tahan', 'pangan', 'nasional', 'makan', 'gizi', 'gratis', 'mbg', 'program', 'asta', 'cita', 'dukung', 'wujud', 'programprogram', 'kapolri', 'jenderal', 'polisi', 'drs', 'listyo', 'sigit', 'prabowo']",8,positive
Wed Feb 05 11:29:38 +0000 2025,aliansi pelajar seyahukimo menolak pemberian makan gratis gimana ceritanya    narasi daily,"['aliansi', 'ajar', 'seyahukimo', 'tolak', 'makan', 'gratis', 'gimana', 'cerita', 'narasi', 'daily']",-15,negative
Mon Feb 10 06:42:02 +0000 2025,salah satu program csr lawless burgerbar februari  ini adalah makan burger gratis untuk sebulan kami membagikan makanan siang layak dan enak lawless burgerbar style ke beberapa sekolah yang tidak jauh dari kami 🖤,"['salah', 'program', 'csr', 'lawless', 'burgerbar', 'februari', 'makan', 'burger', 'gratis', 'makan', 'siang', 'layak', 'enak', 'lawless', 'burgerbar', 'style', 'sekolah', '']",-2,negative
Wed Jan 08 04:56:03 +0000 2025,makanan bergizi gratis pembiayaan dari suami hari ini menu satset  menit jadi sayur sop dan printilannya ga lupa tahu baksonya happy lunch 🫶🏻✨,"['makan', 'gizi', 'gratis', 'biaya', 'suami', 'menu', 'satset', 'menit', 'sayur', 'sop', 'printilannya', 'gak', 'lupa', 'bakso', 'happy', 'lunch', '']",6,positive
Mon Feb 10 08:51:31 +0000 2025,hari ini saya meninjau pelaksanaan program makan bergizi gratis di sdn  dan sdn  kedung jaya bogor jawa barat melihat antusiasme anakanak saat menerima dan menikmati makanan bergizi di sekolah memberikan kebahagiaan tersendiri  program ini bertujuan untuk memenuhi,"['tinjau', 'laksana', 'program', 'makan', 'gizi', 'gratis', 'sdn', 'sdn', 'kedung', 'jaya', 'bogor', 'jawa', 'barat', 'antusiasme', 'anakanak', 'terima', 'nikmat', 'makan', 'gizi', 'sekolah', 'bahagia', 'program', 'tuju', 'penuh']",14,positive
Mon Feb 10 15:08:35 +0000 2025,ternyata makan bergizi gratis itu ga ada gizinya amp ga gratis ya   kenapa sih hal kecil kaya gini aja harus bohong,"['makan', 'gizi', 'gratis', 'gak', 'gizi', 'amp', 'gak', 'gratis', 'ya', '', 'kaya', 'gin', 'bohong']",-1,negative
Sat Feb 08 05:58:11 +0000 2025,efisiensi anggaran sementara kabinet dia paling gemuk   sektorsektor penting dikorbankan buat program makan bergizi gratis yang berantakan,"['efisiensi', 'anggar', 'kabinet', 'gemuk', 'sektorsektor', 'korban', 'program', 'makan', 'gizi', 'gratis', 'beranta']",-7,negative
Sun Feb 02 08:42:09 +0000 2025,masalah negara ini tuh pejabatnya ga ngerti skala prioritas rumah dinas mewah makan bergizi gratis 🤬🤬🤬  sekolah jauh jauh tetep aja pada tolol ngelola program dan keuangan negara,"['negara', 'jabat', 'gak', 'ngerti', 'skala', 'prioritas', 'rumah', 'dinas', 'mewah', 'makan', 'gizi', 'gratis', '', 'sekolah', 'tetep', 'tolol', 'ngelola', 'program', 'uang', 'negara']",-2,negative
Sun Jan 12 11:43:48 +0000 2025,ternyata sudah dilaksanakan oleh abah  program makan siang gratis ketika beliau msh menjabat gubernur dki jakarta meski tidak dipublikasikan oleh beliau sendiri sehat selalu abah emang kereeenn,"['laksana', 'abah', 'program', 'makan', 'siang', 'gratis', 'beliau', 'jabat', 'gubernur', 'dki', 'jakarta', 'publikasi', 'beliau', 'sehat', 'abah', 'kereeenn']",8,positive
